frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
58,1002.49023,423.3786,1006.56726,419.30164,998.4133,417.26318,1010.64417,421.34015,990.2594,421.34015,1020.8367,443.76343,982.10547,437.648,1039.183,472.3022,953.56665,449.8789,1047.3369,498.8025,947.4513,464.14825,1008.6057,490.64856,982.10547,488.61005,1031.029,541.6106,963.75916,539.57214,1039.183,584.41876,945.4127,586.4572
59,1005.3188,418.8461,1009.46173,414.70322,1001.17596,414.70322,1013.6047,416.7747,994.9615,418.8461,1021.89056,439.56082,986.6756,433.3464,1038.4624,466.48984,953.53217,449.91812,1048.8196,493.4189,951.46075,466.48984,1011.53326,485.13303,984.6042,483.06155,1032.2478,534.84827,968.0324,534.84827,1042.6052,582.49194,947.3178,582.49194
60,1005.57996,417.31488,1009.7258,413.16895,1003.50696,413.16895,1013.8718,415.24188,997.2881,417.31488,1024.2366,438.0445,984.85034,433.89856,1038.7473,467.06592,955.82886,454.62817,1049.1122,491.9414,955.82886,471.21185,1013.8718,485.72253,986.92334,483.6496,1038.7473,533.40063,970.3396,533.40063,1047.0392,579.00574,949.61,576.9328
61,1009.6816,416.30316,1013.7203,412.26453,1005.643,414.28387,1017.759,416.30316,997.56573,418.3225,1025.8363,438.51575,985.44977,436.4964,1039.9716,466.78625,959.19855,458.70898,1048.0488,493.03748,965.25653,480.9215,1017.759,482.94086,987.46906,482.94086,1044.0103,531.40466,971.3145,533.42395,1054.1068,577.84906,951.1213,571.7911
62,1012.79297,420.33392,1016.8163,414.299,1008.76965,414.299,1020.8395,418.32227,1000.72314,418.32227,1026.8744,440.45026,990.6649,438.43866,1038.9442,468.61322,964.5137,464.5899,1049.0024,494.76447,972.5602,484.7063,1016.8163,484.7063,988.6533,486.71796,1049.0024,532.98566,970.5486,532.98566,1063.0839,575.23004,952.44385,569.1951
63,1016.3556,422.83203,1018.43286,418.6775,1010.1238,418.6775,1022.5874,422.83203,1003.89197,422.83203,1030.8965,443.6048,991.42834,443.6048,1041.283,470.60938,970.6555,472.68665,1049.592,497.61395,978.9647,489.3048,1018.43286,489.3048,991.42834,489.3048,1053.7466,532.9276,970.6555,535.0049,1070.3647,574.4731,954.03735,572.3958
64,1014.35223,422.8391,1018.5087,418.68268,1010.19586,418.68268,1022.6651,422.8391,1003.9611,422.8391,1030.9779,443.62122,991.4919,443.62122,1041.3689,470.638,970.7098,472.7162,1049.6818,497.65472,979.02264,489.34192,1018.5087,489.34192,991.4919,489.34192,1053.8383,532.9844,970.7098,535.06256,1070.464,574.5486,954.08405,572.4704
65,1018.93604,429.92203,1021.0067,425.78067,1012.724,425.78067,1025.148,427.85135,1006.51196,429.92203,1031.36,448.558,994.088,448.558,1043.784,475.4767,973.38135,477.5474,1054.1373,504.4661,979.59326,489.9714,1021.0067,498.25406,992.01733,500.32474,1058.2787,535.5261,965.09863,543.8087,1078.9854,574.8688,954.74524,576.93945
66,1020.2749,434.92117,1022.4326,432.76346,1015.9595,432.76346,1026.748,434.92117,1009.4863,437.0789,1035.3789,456.49826,996.54016,454.34055,1050.4829,486.7062,974.963,480.23306,1061.2715,512.59875,974.963,480.23306,1024.5903,503.96793,994.38245,506.12564,1061.2715,540.6489,968.48987,540.6489,1087.164,577.3301,955.5436,577.3301
67,1019.39026,440.92087,1023.422,436.88913,1015.35864,436.88913,1027.4537,438.905,1009.31104,440.92087,1039.5488,461.07938,1001.2477,459.0635,1053.6598,489.3013,987.1367,469.1428,1065.7549,517.5232,977.0574,473.17447,1031.4854,511.47568,1001.2477,511.47568,1063.739,543.72925,966.97815,547.761,1087.9292,580.01465,954.88306,577.9988
