frame 0
pose 0
270.79245 551.34375 0.8379184
270.79245 548.54486 0.7592456
267.99356 548.54486 0.8629384
260.5299 552.27673 0.40977058
260.5299 552.27673 0.8576227
253.06622 576.5336 0.48208424
243.73663 579.3325 0.5959433
264.26172 611.05316 0.4195967
249.33438 621.31573 0.5528482
283.85388 620.38275 0.52339965
281.98798 623.18164 0.35269943
269.8595 628.77936 0.21000662
259.13046 633.91064 0.14844663
289.45163 625.9805 0.07716614
289.45163 628.77936 0.052334946
278.25613 628.77936 0.030437415
250.26733 625.9805 0.033458833
pose 3
1259.0137 297.2967 0.87003624
1262.6436 293.66684 0.87690204
1257.1987 293.66684 0.9079192
1267.1809 295.48178 0.7626119
1249.9391 294.5743 0.87021893
1272.6256 313.631 0.6249753
1241.772 313.631 0.6432495
1279.8854 337.22504 0.75641143
1230.8823 339.94742 0.7736691
1277.163 359.00415 0.81226116
1234.5122 358.09668 0.80561405
