frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
58,794.5799,650.2355,792.30493,645.68567,803.67957,641.13574,794.5799,647.9606,817.32916,643.41064,785.48016,675.25964,835.52856,668.43494,769.55566,698.0089,862.82764,698.0089,778.6554,686.6343,865.10254,713.93335,805.9545,743.50745,837.80347,741.23254,780.9303,784.45605,853.72797,789.006,771.8306,829.9546,849.1781,809.4802
59,800.1735,645.20355,797.8789,640.6144,807.05725,638.3198,800.1735,645.20355,823.1193,640.6144,793.28973,670.444,841.476,665.8548,772.6385,686.50604,871.30554,693.3898,786.406,665.8548,871.30554,704.8627,807.05725,741.57605,841.476,739.28143,784.11145,782.8785,859.83264,778.2893,772.6385,828.77014,864.4218,808.1189
60,810.39905,638.27124,808.1229,633.7191,821.7794,633.7191,808.1229,640.54724,830.8838,635.9951,803.5708,663.3081,849.0924,663.3081,778.53394,672.41235,880.9575,690.621,785.3622,651.92773,860.4728,674.6885,814.9512,736.1426,849.0924,733.86646,787.6383,781.66406,867.301,768.0077,771.7057,827.18567,880.9575,799.8727
61,825.47375,631.3172,823.16125,626.69214,830.0989,624.3796,820.84875,631.3172,841.6615,631.3172,813.91113,659.0676,857.84937,659.0676,781.53564,663.6927,890.22485,682.193,779.223,640.5673,874.0371,668.31775,823.16125,730.7562,857.84937,730.7562,793.09827,779.3195,876.3496,760.8192,774.598,825.57025,897.1625,797.8198
62,828.0278,630.5782,830.46576,625.7022,837.7797,620.82623,832.90375,628.1402,854.84564,628.1402,825.5898,652.5201,871.91156,654.95807,786.5819,657.3961,903.6054,674.46204,769.516,640.33014,884.1015,659.8341,830.46576,725.6598,862.1596,725.6598,801.2099,774.41956,886.5395,757.35364,776.82996,820.7414,913.35736,793.9235
63,830.4238,630.6095,830.4238,625.73376,837.7374,620.85803,832.8617,628.17163,854.8025,628.17163,825.5481,652.5503,871.86755,654.98816,786.5422,657.426,903.5598,674.4911,769.4771,640.36096,886.49475,659.8639,830.4238,725.68634,864.55396,725.68634,801.1694,774.4437,886.49475,757.37866,776.7907,820.7632,913.3113,793.94666
64,844.8431,626.8043,844.8431,624.3025,849.84674,619.2988,842.34125,626.8043,867.3595,624.3025,837.3376,649.3208,884.8723,651.82263,799.8102,656.8263,917.3961,669.33545,767.2864,649.3208,897.3815,654.32446,839.8394,721.8738,869.8613,724.3756,807.3157,771.9104,894.87964,754.3976,784.7992,814.4415,927.40344,791.92505
65,870.89844,607.474,873.3014,607.474,866.09247,609.87695,854.0775,624.2949,880.5104,624.2949,849.27155,648.3247,894.9283,650.7278,810.8238,665.1456,930.973,662.7427,772.37604,665.1456,909.3462,653.13074,846.8686,718.01135,878.10736,722.81726,818.0327,768.474,902.1372,758.86206,794.00287,811.7278,928.57007,787.6979
66,870.3429,623.0416,867.8864,620.5851,872.7993,618.12866,867.8864,625.49805,892.451,625.49805,862.9735,652.51904,907.1898,652.51904,835.95245,672.1708,941.5802,654.9756,801.562,681.9966,929.29785,650.0626,858.0606,718.8435,887.5381,721.2999,828.58307,767.97266,902.27686,760.6033,806.475,812.18896,929.29785,790.0808
67,875.01306,627.4874,877.2948,622.92395,888.7035,620.6422,879.57654,627.4874,906.95734,629.76917,875.01306,654.8683,916.0843,652.58655,859.0409,679.9674,941.1834,650.3048,831.6601,695.93945,927.493,634.33264,870.4496,716.4751,897.8304,721.0386,836.2236,768.9551,904.6756,757.5464,815.6879,816.87146,936.61993,789.4906
68,886.29755,629.4779,890.7279,625.0475,890.7279,622.8323,890.7279,631.693,915.0951,631.693,886.29755,656.0602,921.7407,653.845,879.652,684.8578,937.2471,642.76904,866.3608,707.00964,926.171,627.2627,877.43677,720.3009,906.2343,722.5161,844.20886,771.25037,910.6647,755.744,824.2721,815.5542,937.2471,788.9719
69,886.2383,629.44543,890.6702,625.01355,890.6702,622.79755,890.6702,631.66144,915.04584,631.66144,886.2383,656.037,921.6937,653.82104,879.59045,684.84454,937.20544,642.7412,866.2947,707.00415,923.90967,627.2295,877.37445,720.2999,906.182,722.51587,844.135,771.267,910.6139,755.7553,824.19135,815.5863,937.20544,788.99475
70,922.2278,623.2479,922.2278,618.9759,917.9557,621.1119,898.73157,631.792,920.0917,636.06396,892.3235,653.1521,926.49976,653.1521,892.3235,683.0563,932.90784,638.2,885.9155,708.6884,926.49976,627.51996,883.77954,719.36847,913.6837,721.50446,849.6033,770.63275,911.5476,753.5447,834.65125,815.489,937.1798,789.8569
71,898.3123,627.93835,900.4605,625.7903,900.4605,625.7903,902.6086,630.08655,924.0899,634.3828,896.16425,651.56775,928.38617,655.864,900.4605,677.34534,930.53424,636.5309,900.4605,703.1229,928.38617,645.1234,889.71985,718.1598,917.6455,718.1598,853.20166,765.4186,913.34924,750.3817,844.60913,810.5293,936.9787,786.8999
72,902.3189,627.29156,902.3189,622.99854,908.7585,620.852,904.46545,627.29156,928.0773,631.58466,898.0258,648.75684,930.22375,653.0499,902.3189,670.22217,910.905,644.4638,906.61194,693.834,893.7328,644.4638,889.43976,717.4458,919.4911,717.4458,855.0953,762.5228,915.19806,749.6437,850.80225,803.3069,936.6633,788.2812
73,911.8544,618.6844,909.6212,614.2181,914.0875,611.9849,905.1549,620.91754,929.71967,625.38385,898.45544,641.0159,931.9528,649.94855,902.92175,663.34753,911.8544,638.7828,907.38806,685.6791,929.71967,578.4876,891.756,712.4769,920.78705,712.4769,858.2586,759.37317,918.5539,750.44055,858.2586,799.57,938.6523,788.40424
